app_id,app_name,category,vendor,version,criticality,owner,support_team,go_live_date,status,users_count,monthly_cost
1,Billing System,BSS,ServiceNow,19.4.88,Medium,Lucas Hughes,BSS Support,2014-06-28,Production,1096,74786.58
2,CRM,BSS,Comverse,19.5.9,Medium,Alice Williams,BSS Support,2010-01-22,Production,4460,11578.75
3,Order Management,BSS,Salesforce,11.0.6,Critical,Charlotte Thompson,BSS Support,2021-07-11,Production,2165,64127.68
4,Product Catalog,BSS,Custom,19.4.66,High,Freya Thomas,BSS Support,2010-04-21,Production,2549,70296.43
5,Rating Engine,BSS,Oracle,11.4.82,Low,Alexander Edwards,BSS Support,2011-09-29,Production,1678,78831.31
6,Network Inventory,OSS,SAP,2.7.53,Critical,Alice Roberts,OSS Support,2012-08-21,Production,4683,35128.07
7,Service Assurance,OSS,Netcracker,19.8.54,High,Noah Cooper,OSS Support,2012-04-01,Production,2414,8445.59
8,Fault Management,OSS,Netcracker,11.1.5,High,Sophie Taylor,OSS Support,2015-03-17,Retired,2561,18963.36
9,Performance Management,OSS,Comverse,7.9.17,High,James Davies,OSS Support,2015-03-31,Production,3359,32853.42
10,ERP,Core,SAP,7.9.49,High,Lily Green,Core Support,2021-10-17,Production,2509,84259.7
11,HR System,Core,Oracle,1.4.43,Low,Noah Roberts,Core Support,2022-10-18,Production,3134,88743.32
12,Finance System,Core,Salesforce,14.4.54,High,Sophia Cooper,Core Support,2011-06-24,Production,2744,14770.25
13,Procurement,Core,Comverse,14.2.89,Medium,William Cooper,Core Support,2018-09-04,Production,347,39555.78
14,Asset Management,Core,Salesforce,18.9.88,High,Lucas Evans,Core Support,2014-11-26,Production,1419,51892.07
15,Web Portal,Customer,Amdocs,13.4.76,Medium,Benjamin Patel,Customer Support,2011-12-19,Production,4587,30206.36
16,Mobile App,Customer,Amdocs,6.8.76,Critical,George Thomas,Customer Support,2012-10-11,Development,4908,50624.23
17,IVR,Customer,Microsoft,19.7.63,Medium,Alexander Walker,Customer Support,2018-10-13,Production,81,66795.72
18,Chatbot,Customer,CSG,3.0.23,Medium,Amelia Cooper,Customer Support,2011-11-14,Development,1145,23038.63
19,Email System,Customer,Oracle,8.0.63,High,Sophia Lewis,Customer Support,2019-09-25,Production,4346,63148.04
20,Data Warehouse,Analytics,Custom,1.8.9,Low,William Edwards,Analytics Support,2013-01-05,Production,1505,54102.33
21,BI Platform,Analytics,CSG,11.6.32,High,Mia Johnson,Analytics Support,2010-10-31,Production,1692,9719.93
22,ML Platform,Analytics,Salesforce,12.2.7,Medium,Harry Edwards,Analytics Support,2022-11-12,Production,1305,10292.39
23,Reporting Tool,Analytics,Salesforce,14.3.43,High,Charlotte Jackson,Analytics Support,2010-10-21,Production,748,92770.15
24,Active Directory,Infrastructure,Oracle,1.2.70,Critical,Grace Wood,Infrastructure Support,2013-04-02,Production,1940,57655.88
25,DNS,Infrastructure,Oracle,2.7.50,Low,William Wood,Infrastructure Support,2019-07-22,Production,1323,5805.0
26,DHCP,Infrastructure,Custom,20.9.31,Medium,Jack Hall,Infrastructure Support,2020-03-28,Production,4734,73208.95
27,Load Balancer,Infrastructure,Microsoft,4.8.56,Critical,Henry Jones,Infrastructure Support,2016-02-18,Development,3368,96612.5
28,CDN,Infrastructure,ServiceNow,13.9.85,High,Daniel Hughes,Infrastructure Support,2014-09-23,Production,623,55667.76
29,SIEM,Security,Custom,12.6.50,Low,Harry Wood,Security Support,2016-05-15,Retired,4379,97284.6
30,Firewall Management,Security,Amdocs,15.0.59,High,James Patel,Security Support,2014-10-20,Production,1931,59881.18
31,IAM,Security,CSG,15.8.89,High,Sophia Cooper,Security Support,2011-10-23,Development,346,83596.35
32,DLP,Security,Custom,16.2.97,Critical,Isabella Wilson,Security Support,2021-12-10,Development,3070,44895.59
33,Vulnerability Scanner,Security,CSG,17.4.32,Low,Joseph Clarke,Security Support,2010-04-25,Production,348,12328.43
34,Email,Collaboration,Netcracker,10.3.89,Critical,Jack Clarke,Collaboration Support,2015-03-11,Production,894,67587.51
35,Teams,Collaboration,Amdocs,5.7.62,Low,Daniel Lewis,Collaboration Support,2012-03-09,Production,185,3857.05
36,SharePoint,Collaboration,Microsoft,16.7.87,Critical,Isabella Wood,Collaboration Support,2011-08-03,Production,1957,84376.88
37,Confluence,Collaboration,Comverse,2.0.74,Low,Amelia Davies,Collaboration Support,2010-01-29,Production,4451,54932.64
38,Jira,Collaboration,Amdocs,7.8.63,High,Grace Wilson,Collaboration Support,2014-11-26,Production,3156,63675.18
39,Application 39,BSS,SAP,7.5,Medium,Isabella Brown,IT Support,2019-12-30,Production,525,31869.68
40,Application 40,BSS,Microsoft,7.6,Low,Noah Robinson,IT Support,2022-05-03,Production,728,40604.2
41,Application 41,Collaboration,CSG,10.4,High,Harry Robinson,IT Support,2022-03-25,Production,573,20390.78
42,Application 42,Infrastructure,Comverse,3.2,Critical,Grace Patel,IT Support,2024-05-23,Production,29,23056.41
43,Application 43,Analytics,Microsoft,2.5,Low,Joseph Wilson,IT Support,2015-01-02,Production,912,8569.34
44,Application 44,Security,Oracle,10.9,Low,Emma Williams,IT Support,2023-03-03,Production,418,42775.63
45,Application 45,OSS,ServiceNow,1.9,Low,George Hall,IT Support,2023-08-23,Production,430,25660.99
46,Application 46,Collaboration,Microsoft,9.4,Medium,Freya Thomas,IT Support,2017-11-13,Production,767,21776.31
47,Application 47,Customer,CSG,10.0,High,Charlotte Cooper,IT Support,2024-10-10,Production,551,29781.43
48,Application 48,Collaboration,Amdocs,4.4,Low,Amelia Brown,IT Support,2018-08-21,Production,261,7459.09
49,Application 49,Core,CSG,3.4,High,Oliver Edwards,IT Support,2023-11-06,Production,473,13661.37
50,Application 50,Collaboration,SAP,5.8,Medium,Harper Robinson,IT Support,2020-02-24,Production,635,33403.6
51,Application 51,Core,Oracle,1.3,Medium,Chloe Brown,IT Support,2016-04-30,Production,889,39777.52
52,Application 52,Core,Salesforce,10.2,Medium,Charlie Wood,IT Support,2019-05-18,Production,389,9289.83
53,Application 53,BSS,Microsoft,4.7,Critical,William Davies,IT Support,2017-05-16,Production,32,49525.45
54,Application 54,Core,Salesforce,6.4,Critical,Henry Hall,IT Support,2024-08-11,Production,213,8458.46
55,Application 55,Core,Salesforce,7.6,Critical,Isabella Williams,IT Support,2016-12-12,Production,653,26449.52
56,Application 56,Customer,CSG,3.0,Low,Jessica Clarke,IT Support,2024-09-29,Production,455,20942.58
57,Application 57,Core,Microsoft,1.2,Critical,Ruby Johnson,IT Support,2020-09-18,Production,916,25332.06
58,Application 58,Collaboration,Salesforce,4.6,High,Lily Turner,IT Support,2016-02-18,Production,733,9395.22
59,Application 59,Collaboration,Salesforce,2.4,Critical,Charlie Turner,IT Support,2015-08-24,Production,292,15718.83
60,Application 60,OSS,Salesforce,9.3,Low,Isabella Brown,IT Support,2018-11-12,Production,998,22720.9
61,Application 61,OSS,SAP,7.7,Critical,Henry Hughes,IT Support,2016-12-27,Production,969,24488.04
62,Application 62,BSS,Oracle,9.2,Low,Benjamin Taylor,IT Support,2024-06-26,Production,588,32004.79
63,Application 63,Analytics,Netcracker,6.0,Low,Jessica Wood,IT Support,2018-08-30,Production,569,39915.04
64,Application 64,Security,Netcracker,7.0,Low,Thomas White,IT Support,2022-01-26,Production,597,8590.74
65,Application 65,OSS,Amdocs,4.7,Low,Samuel White,IT Support,2023-01-26,Production,598,1106.93
66,Application 66,Collaboration,Amdocs,2.2,High,Grace Cooper,IT Support,2023-04-29,Production,214,48228.75
67,Application 67,Analytics,CSG,7.4,Low,George Wright,IT Support,2015-03-11,Production,908,36752.75
68,Application 68,Customer,Microsoft,4.1,Medium,Henry Smith,IT Support,2017-08-24,Production,381,26242.96
69,Application 69,BSS,ServiceNow,9.7,High,Lucas Martin,IT Support,2018-11-12,Production,230,10601.54
70,Application 70,Analytics,Netcracker,2.3,Critical,Jessica White,IT Support,2021-10-03,Production,856,22837.01
71,Application 71,Customer,Netcracker,3.6,High,Lucas Walker,IT Support,2022-05-12,Production,171,43363.12
72,Application 72,OSS,Microsoft,2.0,Critical,George Smith,IT Support,2015-01-30,Production,326,20458.95
73,Application 73,OSS,Custom,3.2,High,Leo Davies,IT Support,2017-08-05,Production,695,39812.36
74,Application 74,OSS,Salesforce,5.8,High,Jack Clarke,IT Support,2024-03-25,Production,117,46110.2
75,Application 75,Core,SAP,8.5,Low,Evelyn Jones,IT Support,2022-12-24,Production,758,36498.16
76,Application 76,Infrastructure,Microsoft,7.7,High,Thomas Harris,IT Support,2016-02-04,Production,71,44804.41
77,Application 77,Security,CSG,2.8,Low,Charlotte Walker,IT Support,2021-01-26,Production,768,18336.17
78,Application 78,Analytics,Amdocs,5.0,Medium,James Jackson,IT Support,2018-07-02,Production,503,38280.5
79,Application 79,BSS,Microsoft,10.1,Low,Olivia Martin,IT Support,2023-12-05,Production,191,2207.23
80,Application 80,Customer,Oracle,7.8,High,Oliver Jones,IT Support,2023-10-05,Production,21,37224.55
81,Application 81,Analytics,Netcracker,3.4,High,Ella Turner,IT Support,2016-01-01,Production,695,30203.22
82,Application 82,Collaboration,CSG,1.8,Critical,Harper Hill,IT Support,2017-02-17,Production,853,33195.35
83,Application 83,Security,Oracle,3.4,High,Ava Jackson,IT Support,2021-07-13,Production,744,40598.33
84,Application 84,Collaboration,ServiceNow,3.7,Critical,Emma Robinson,IT Support,2017-07-17,Production,973,16709.55
85,Application 85,OSS,Comverse,1.5,Medium,Harper Smith,IT Support,2018-01-23,Production,246,32078.27
86,Application 86,Collaboration,Custom,9.0,Critical,Emily Jackson,IT Support,2018-02-06,Production,123,44281.96
87,Application 87,Security,Netcracker,2.0,Low,Evelyn Jones,IT Support,2016-03-12,Production,276,35054.77
88,Application 88,BSS,Salesforce,3.2,Low,Daniel Clarke,IT Support,2023-03-25,Production,45,35237.19
89,Application 89,Infrastructure,Amdocs,7.1,Critical,Samuel Taylor,IT Support,2018-11-29,Production,589,2306.73
90,Application 90,Analytics,Custom,9.1,Low,Mia Roberts,IT Support,2016-12-18,Production,21,4237.19
91,Application 91,Customer,Microsoft,7.8,High,Noah Williams,IT Support,2016-10-10,Production,513,31018.68
92,Application 92,Analytics,Salesforce,3.1,Low,Ruby Edwards,IT Support,2020-07-14,Production,226,7790.38
93,Application 93,Customer,Netcracker,1.3,Low,Alexander Patel,IT Support,2024-09-26,Production,589,47494.16
94,Application 94,BSS,Custom,7.0,High,Matthew Smith,IT Support,2019-11-17,Production,204,26585.75
95,Application 95,Customer,Salesforce,7.4,Medium,Joseph Jackson,IT Support,2021-06-22,Production,90,37385.86
96,Application 96,Security,Comverse,1.6,Medium,Thomas Hughes,IT Support,2018-03-27,Production,625,49545.31
97,Application 97,OSS,Microsoft,5.6,Low,Thomas White,IT Support,2016-11-04,Production,790,4957.81
98,Application 98,OSS,SAP,5.4,Critical,Grace Clarke,IT Support,2019-07-02,Production,343,7474.65
