store_id,store_name,store_code,store_type,store_format,city,region,postcode,latitude,longitude,opening_date,store_sqft,staff_count,manager_name,status,has_repair_centre,has_business_area
1,SnowTelco London Flagship,ST0001,Flagship,High Street,London,London,LO5 4HE,55.89177,-0.263104,2014-12-05,3102,10,Sarah Wilson,Active,True,True
2,SnowTelco London Shopping 2,ST0002,Standard,Shopping Centre,London,London,LO9 4YW,55.6106,-2.063361,2016-03-28,1554,5,Lucy Taylor,Active,True,False
3,SnowTelco London Shopping 3,ST0003,Standard,Shopping Centre,London,London,LO5 3GL,50.817682,-2.340509,2013-06-29,2196,7,Sophie Davies,Active,False,False
4,SnowTelco London Airport 4,ST0004,Standard,Airport,London,London,LO2 9KW,54.948158,1.031948,2016-11-28,2275,7,Emma Jones,Active,True,False
5,SnowTelco London Retail 5,ST0005,Standard,Retail Park,London,London,LO7 5QW,56.672883,-3.861421,2023-10-02,1706,5,Sophie Brown,Active,False,False
6,SnowTelco London High 6,ST0006,Standard,High Street,London,London,LO9 4FQ,53.035644,1.926663,2015-03-12,1850,6,Emma Davies,Active,False,False
7,SnowTelco London Shopping 7,ST0007,Standard,Shopping Centre,London,London,LO7 5CG,57.305089,-1.02974,2012-01-16,2146,7,Sophie Brown,Active,False,False
8,SnowTelco London Airport 8,ST0008,Standard,Airport,London,London,LO4 9TJ,55.97611,-2.000963,2022-09-16,1785,5,Daniel Davies,Active,False,False
9,SnowTelco London Train 9,ST0009,Standard,Train Station,London,London,LO2 3WF,56.336635,-2.04488,2017-12-15,1596,5,Sarah Wilson,Active,False,False
10,SnowTelco London Train 10,ST0010,Standard,Train Station,London,London,LO2 9JW,52.721404,-2.945499,2020-04-21,1523,5,Michael Evans,Active,False,False
11,SnowTelco London Retail 11,ST0011,Standard,Retail Park,London,London,LO2 5WS,54.871762,-3.930125,2016-10-31,2539,8,Michael Smith,Active,False,False
12,SnowTelco London High 12,ST0012,Standard,High Street,London,London,LO4 1HU,57.575596,-4.400426,2010-07-31,2129,7,Lucy Jones,Refurbishment,False,False
13,SnowTelco London Shopping 13,ST0013,Standard,Shopping Centre,London,London,LO9 3JS,56.979464,-2.038034,2022-02-26,2473,8,Emma Brown,Active,False,False
14,SnowTelco London Retail 14,ST0014,Standard,Retail Park,London,London,LO2 4HC,52.704684,-0.881839,2017-05-11,2424,8,Emma Brown,Active,False,False
15,SnowTelco London Shopping 15,ST0015,Standard,Shopping Centre,London,London,LO2 9HJ,55.351822,-3.500342,2024-01-13,2176,7,Michael Evans,Active,False,False
16,SnowTelco London Shopping 16,ST0016,Express,Shopping Centre,London,London,LO7 6PP,53.736197,0.103531,2023-12-11,1474,4,Sarah Smith,Active,False,False
17,SnowTelco London High 17,ST0017,Express,High Street,London,London,LO9 8EP,51.467904,-1.761604,2021-10-23,994,3,Sarah Evans,Active,False,False
18,SnowTelco London High 18,ST0018,Standard,High Street,London,London,LO2 4FP,53.885129,-3.503769,2014-04-30,1530,5,Daniel Smith,Active,True,False
19,SnowTelco London Retail 19,ST0019,Express,Retail Park,London,London,LO7 9XY,53.893371,-3.670715,2010-06-14,1092,3,Emma Smith,Active,False,False
20,SnowTelco London Retail 20,ST0020,Standard,Retail Park,London,London,LO8 9SF,50.455037,-1.445201,2025-01-03,2696,8,Michael Jones,Active,False,False
21,SnowTelco London Airport 21,ST0021,Standard,Airport,London,London,LO1 2PX,54.669378,-1.340521,2023-04-13,2004,6,David Brown,Active,False,False
22,SnowTelco London Airport 22,ST0022,Express,Airport,London,London,LO5 8LC,50.074524,-0.651885,2022-02-20,1460,4,Sarah Jones,Active,False,False
