partner_key,partner_name,partner_type,tier,city,county,region_key,status,onboard_date,account_manager,commission_rate,credit_limit
1,Turner Tech Ltd,Wholesale,Bronze,London,Greater London,402,Active,2020-11-07,Ella Roberts,8.1,25000
2,Turner Networks Ltd,Reseller,Gold,Leicester,Leicestershire,403,Active,2017-01-19,Olivia Clarke,15.1,25000
3,Green IT Ltd,Reseller,Standard,Glasgow,Scotland,407,Active,2020-10-03,Sophia Wood,17.4,250000
4,Hall IT Ltd,Agent,Gold,Leicester,Leicestershire,406,Active,2021-07-27,William Williams,6.6,250000
5,Turner Tech Ltd,IT Provider,Bronze,Oxford,Oxfordshire,403,Inactive,2017-11-10,Charlotte Evans,21.8,10000
6,Green Solutions Ltd,MSP,Standard,Bristol,Avon,409,Active,2022-01-30,Isabella Harris,13.2,50000
7,Harris Solutions Ltd,Agent,Standard,Southampton,Hampshire,401,Active,2024-03-22,Freya Thomas,8.3,250000
8,Roberts IT Ltd,MSP,Standard,Nottingham,Nottinghamshire,408,Active,2016-04-29,George Cooper,16.2,250000
9,Smith IT Ltd,Agent,Gold,Coventry,West Midlands,409,Active,2022-06-28,Jessica Harris,12.9,10000
10,Wright Solutions Ltd,Agent,Gold,Bristol,Avon,409,Active,2020-10-23,Daniel Robinson,14.0,100000
11,Brown Tech Ltd,Wholesale,Bronze,Brighton,East Sussex,411,Active,2019-08-29,Henry Green,15.8,250000
12,Taylor Group Ltd,Referral,Platinum,London,Greater London,401,Active,2018-12-11,Sophia Hall,11.5,50000
13,Roberts Networks Ltd,Agent,Standard,Newcastle,Tyne and Wear,408,Active,2017-05-06,Leo Evans,16.5,100000
14,Wilson Solutions Ltd,Telecom Reseller,Gold,Leicester,Leicestershire,405,Active,2015-01-04,Jessica Wood,10.6,10000
15,Green IT Ltd,Reseller,Standard,London,Greater London,402,Active,2015-05-25,Jessica Harris,22.5,10000
16,White Group Ltd,IT Provider,Standard,London,Greater London,409,Active,2024-01-07,Daniel Wright,7.1,250000
17,Thomas Telecom Ltd,Wholesale,Standard,Bristol,Avon,404,Active,2024-05-01,Henry Wood,9.5,100000
18,Edwards IT Ltd,Referral,Silver,Oxford,Oxfordshire,410,Active,2015-07-18,Jessica Brown,9.3,50000
19,Wood Solutions Ltd,Reseller,Standard,Oxford,Oxfordshire,402,Active,2015-05-10,Emily Taylor,23.4,50000
20,Hall IT Ltd,Telecom Reseller,Standard,Southampton,Hampshire,402,Active,2021-03-06,Harper Evans,8.0,100000
21,Hill Solutions Ltd,IT Provider,Standard,Cardiff,Wales,411,Active,2020-03-17,Oscar Robinson,23.6,25000
22,Walker Solutions Ltd,Telecom Reseller,Gold,Belfast,Northern Ireland,409,Active,2018-03-11,Emma Smith,14.8,250000
23,Robinson Networks Ltd,Telecom Reseller,Silver,Cambridge,Cambridgeshire,402,Active,2023-06-27,Leo Evans,12.9,50000
