sla_key,sla_name,sla_category,target_value,unit,measurement_period,penalty_applicable,status
1,Platform Availability,Availability,99.95,%,Monthly,TRUE,Active
2,Platform Availability - Premium,Availability,99.99,%,Monthly,TRUE,Active
3,Voice Quality MOS,Quality,4.0,MOS,Daily,TRUE,Active
4,Network Latency,Performance,50.0,ms,Hourly,FALSE,Active
5,Packet Loss,Performance,0.1,%,Hourly,FALSE,Active
6,P1 Response Time,Support,15.0,minutes,Per Incident,TRUE,Active
7,P1 Resolution Time,Support,4.0,hours,Per Incident,TRUE,Active
8,P2 Response Time,Support,30.0,minutes,Per Incident,TRUE,Active
9,P2 Resolution Time,Support,8.0,hours,Per Incident,TRUE,Active
10,P3 Response Time,Support,4.0,hours,Per Incident,TRUE,Active
11,P3 Resolution Time,Support,24.0,hours,Per Incident,TRUE,Active
12,P4 Response Time,Support,8.0,hours,Per Incident,TRUE,Active
13,P4 Resolution Time,Support,72.0,hours,Per Incident,TRUE,Active
14,Provisioning - Standard,Delivery,5.0,days,Per Order,FALSE,Active
15,Provisioning - Express,Delivery,1.0,days,Per Order,FALSE,Active
16,Number Porting,Delivery,10.0,days,Per Port,FALSE,Active
17,Billing Accuracy,Billing,99.9,%,Monthly,FALSE,Active
18,Call Setup Success Rate,Quality,99.5,%,Daily,TRUE,Active
19,Data Throughput,Performance,90.0,%,Hourly,FALSE,Active
20,API Availability,Availability,99.9,%,Monthly,TRUE,Active
